artist,tags,album,year,record_label,title,lyrics
Pollo,"['Hip Hop', 'Rap', 'Romântico']",Sete Sete Sete,2014,Som Livre,Ó Quem Voltou,
Pollo,"['Hip Hop', 'Rap', 'Romântico']",Sete Sete Sete,2014,Som Livre,Meu Mundo (Part. Kito),"['eu', 'quero', 'te', 'mostrar', 'o', 'que', 'a', 'noite', 'tem', 'pra', 'te', 'dar', 'se', 'entregue', 'e', 'deixa', 'levar', 'do', 'meu', 'mundo', 'você', 'vai', 'gostar', 'vem', 'que', 'tá', 'bom', 'bom', 'curtindo', 'esse', 'som', 'som', 'gosto', 'quando', 'dança', 'me', 'olhando', 'me', 'deixa', 'doidão', 'ei', 'cê', 'tem', 'o', 'dom', 'dom', 'vamo', 'brindar', 'que', 'hoje', 'à', 'noite', 'não', 'tem', 'fim', 'não', 'e', 'o', 'que', 'era', 'impossível', 'pra', 'nós', 'hoje', 'é', 'normal', 'eu', 'vivo', 'tudo', 'isso', 'do', 'início', 'até', 'o', 'final', 'se', 'tá', 'tudo', 'bem', 'ok', 'senão', 'nada', 'mal', 'han', 'tornando', 'cada', 'momento', 'especial', 'é', 'que', 'te', 'vi', 'daqui', 'sozinha', 'com', 'o', 'drink', 'na', 'mão', 'pensei', 'mano', 'porque', 'não', 'não', 'tenho', 'nada', 'a', 'perder', 'eu', 'que', 'nem', 'sou', 'de', 'fazer', 'isso', 'era', 'um', 'cara', 'de', 'compromisso', 'enfim', 'cheguei', 'aqui', 'até', 'você', 'então', 'vou', 'ser', 'direto', 'meu', 'papo', 'é', 'sempre', 'reto', 'han', 'posso', 'não', 'parecer', 'mas', 'sou', 'o', 'cara', 'certo', 'linda', 'vem', 'que', 'eu', 'te', 'mostro', 'o', 'lado', 'bom', 'da', 'vida', 'comigo', 'cê', 'sempre', 'será', 'bem', 'vinda', 'até', 'que', 'a', 'nossa', 'missão', 'seja', 'cumprida', 'então', 'vem', 'logo', 'que', 'vou', 'te', 'mostrar', 'eu', 'quero', 'te', 'mostrar', 'o', 'que', 'a', 'noite', 'tem', 'pra', 'te', 'dar', 'se', 'entregue', 'e', 'deixa', 'levar', 'do', 'meu', 'mundo', 'você', 'vai', 'gostar', 'vem', 'que', 'tá', 'bom', 'bom', 'curtindo', 'esse', 'som', 'som', 'gosto', 'quando', 'dança', 'me', 'olhando', 'me', 'deixa', 'doidão', 'ei', 'cê', 'tem', 'o', 'dom', 'dom', 'vamo', 'brindar', 'que', 'hoje', 'à', 'noite', 'não', 'tem', 'fim', 'não', 'hey', 'olha', 'pra', 'mim', 'nosso', 'lance', 'é', 'proibido', 'e', 'eu', 'gosto', 'assim', 'quando', 'chega', 'perto', 'e', 'no', 'ouvido', 'fala', 'baixim', 'você', 'me', 'conhece', 'bem', 'sabe', 'que', 'eu', 'tô', 'afim', 'hey', 'deixa', 'eu', 'falar', 'você', 'rouba', 'a', 'cena', 'quando', 'começa', 'a', 'dançar', 'se', 'tamo', 'junto', 'peço', 'pra', 'hora', 'não', 'passar', 'te', 'quero', 'de', 'verdade', 'você', 'pode', 'acreditar', 'então', 'deixa', 'rolar', 'hoje', 'a', 'cena', 'é', 'nossa', 'e', 'você', 'pode', 'pá', 'que', 'eu', 'quero', 'te', 'mostrar', 'o', 'que', 'a', 'noite', 'tem', 'pra', 'te', 'dar', 'se', 'entregue', 'e', 'deixa', 'levar', 'do', 'meu', 'mundo', 'você', 'vai', 'gostar', 'vem', 'que', 'tá', 'bom', 'bom', 'curtindo', 'esse', 'som', 'som', 'gosto', 'quando', 'dança', 'me', 'olhando', 'me', 'deixa', 'doidão', 'ei', 'cê', 'tem', 'o', 'dom', 'dom', 'vamo', 'brindar', 'que', 'hoje', 'à', 'noite', 'não', 'tem', 'fim', 'não', 'quero', 'te', 'mostrar', 'que', 'é', 'nóis', 'que', 'tá', 'que', 'amor', 'é', 'o', 'que', 'tá', 'tendo', 'eu', 'tenho', 'pra', 'te', 'dar', 'é', 'desse', 'jeito', 'vem', 'comigo', 'que', 'é', 'sucesso', 'eu', 'te', 'ganhei', 'a', 'noite', 'inteira', 'linda', 'eu', 'confesso', 'um', 'pouco', 'de', 'excesso', 'de', 'paixão', 'coisas', 'de', 'verão', 'amores', 'mudam', 'igual', 'muda', 'estação', 'e', 'tá', 'firmão', 'eu', 'te', 'passei', 'meu', 'telefone', 'pode', 'me', 'ligar', 'porque', 'é', 'tudo', 'no', 'meu', 'nome', 'eu', 'quero', 'te', 'mostrar', 'o', 'que', 'a', 'noite', 'tem', 'pra', 'te', 'dar', 'se', 'entregue', 'e', 'deixa', 'levar', 'do', 'meu', 'mundo', 'você', 'vai', 'gostar', 'vem', 'que', 'tá', 'bom', 'bom', 'curtindo', 'esse', 'som', 'som', 'gosto', 'quando', 'dança', 'me', 'olhando', 'me', 'deixa', 'doidão', 'ei', 'cê', 'tem', 'o', 'dom', 'dom', 'vamo', 'brindar', 'que', 'hoje', 'à', 'noite', 'não', 'tem', 'fim', 'não', 'eu', 'quero', 'te', 'mostrar', 'o', 'que', 'a', 'noite', 'tem', 'pra', 'te', 'dar', 'se', 'entregue', 'e', 'deixa', 'levar', 'do', 'meu', 'mundo', 'você', 'vai', 'gostar', 'vem', 'que', 'tá', 'bom', 'bom', 'curtindo', 'esse', 'som', 'som', 'gosto', 'quando', 'dança', 'me', 'olhando', 'me', 'deixa', 'doidão', 'hey']"
Pollo,"['Hip Hop', 'Rap', 'Romântico']",Sete Sete Sete,2014,Som Livre,Atração,
Pollo,"['Hip Hop', 'Rap', 'Romântico']",Sete Sete Sete,2014,Som Livre,Seis da Matina,"['seis', 'horas', 'da', 'manhã', 'o', 'sol', 'me', 'instiga', 'cê', 'ainda', 'com', 'duas', 'amigas', 'querendo', 'tumultuar', 'vem', 'embora', 'que', 'agora', 'cê', 'tá', 'comigo', 'e', 'não', 'corre', 'mais', 'perigo', 'nem', 'se', 'o', 'mundo', 'acabar', 'seis', 'horas', 'da', 'manhã', 'o', 'sol', 'me', 'instiga', 'cê', 'ainda', 'com', 'duas', 'amigas', 'querendo', 'tumultuar', 'vem', 'embora', 'que', 'agora', 'cê', 'tá', 'comigo', 'e', 'não', 'corre', 'mais', 'perigo', 'nem', 'se', 'o', 'mundo', 'acabar', 'tomim', 'seis', 'da', 'matina', 'você', 'e', 'duas', 'mina', 'eu', 'com', 'o', 'zoin', 'vermelho', 'da', 'china', 'coisa', 'fina', 'vida', 'de', 'classe', 'se', 'meu', 'carro', 'falasse', 'mano', 'que', 'fase', 'que', 'eu', 'tô', 'passando', 'ressaca', 'já', 'bateu', 'chega', 'tomim', 'ganhando', 'sigo', 'rimando', 'falando', 'que', 'o', 'adriel', 'tinha', 'virado', 'adriano', 'jão', 'que', 'rolê', 'insano', 'disseram', 'que', 'minha', 'ex', 'tá', 'na', 'porta', 'esperando', 'que', 'que', 'eu', 'tô', 'fazendo', 'que', 'que', 'eu', 'tô', 'falando', 'elas', 'me', 'puxando', 'eu', 'vou', 'sair', 'voando', 'seis', 'horas', 'da', 'manhã', 'o', 'sol', 'me', 'instiga', 'cê', 'ainda', 'com', 'duas', 'amigas', 'querendo', 'tumultuar', 'vem', 'embora', 'que', 'agora', 'cê', 'tá', 'comigo', 'e', 'não', 'corre', 'mais', 'perigo', 'nem', 'se', 'o', 'mundo', 'acabar', 'seis', 'horas', 'da', 'manhã', 'o', 'sol', 'me', 'instiga', 'cê', 'ainda', 'com', 'duas', 'amigas', 'querendo', 'tumultuar', 'vem', 'embora', 'que', 'agora', 'cê', 'tá', 'comigo', 'e', 'não', 'corre', 'mais', 'perigo', 'nem', 'se', 'o', 'mundo', 'acabar', 'adriel', 'ok', 'deixa', 'comigo', 'que', 'agora', 'eu', 'desenrolo', 'ela', 'só', 'quer', 'fazer', 'rolê', 'com', 'os', 'cara', 'do', 'pollo', 'senta', 'no', 'meu', 'colo', 'perguntando', 'se', 'eu', 'namoro', 'respondi', 'que', 'não', 'ela', 'disse', 'adoro', 'lembrei', 'da', 'minha', 'mãe', 'filho', 'tenha', 'juízo', 'cuidado', 'com', 'essas', 'mina', 'que', 'é', 'prejuízo', 'por', 'isso', 'que', 'eu', 'nem', 'briso', 'evito', 'a', 'fadiga', 'na', 'bandida', 'quer', 'me', 'dar', 'me', 'liga', 'vai', 'que', 'vinga', 'sabe', 'bem', 'como', 'é', 'que', 'é', 'não', 'querendo', 'ser', 'pá', 'mas', 'tem', 'várias', 'no', 'meu', 'pé', 'tô', 'te', 'querendo', 'só', 'se', 'também', 'você', 'quiser', 'é', 'cê', 'pode', 'ser', 'minha', 'mulher', 'cê', 'pode', 'ser', 'minha', 'mulher', 'é', 'pode', 'ser', 'minha', 'mulher', 'vem', 'vem', 'vem', 'seis', 'horas', 'da', 'manhã', 'o', 'sol', 'me', 'instiga', 'cê', 'ainda', 'com', 'duas', 'amigas', 'querendo', 'tumultuar', 'vem', 'embora', 'que', 'agora', 'cê', 'tá', 'comigo', 'e', 'não', 'corre', 'mais', 'perigo', 'nem', 'se', 'o', 'mundo', 'acabar', 'seis', 'horas', 'da', 'manhã', 'o', 'sol', 'me', 'instiga', 'cê', 'ainda', 'com', 'duas', 'amigas', 'querendo', 'tumultuar', 'vem', 'embora', 'que', 'agora', 'cê', 'tá', 'comigo', 'e', 'não', 'corre', 'mais', 'perigo', 'nem', 'se', 'o', 'mundo', 'acabar']"
Pollo,"['Hip Hop', 'Rap', 'Romântico']",Sete Sete Sete,2014,Som Livre,Solta na Noite (Part. Sorriso Maroto),"['quantas', 'vezes', 'você', 'ligou', 'e', 'ele', 'não', 'te', 'atendeu', 'finalmente', 'você', 'se', 'tocou', 'que', 'ele', 'nunca', 'te', 'pertenceu', 'tá', 'solta', 'na', 'noite', 'convoca', 'suas', 'amigas', 'põe', 'sua', 'melhor', 'roupa', 'e', 'sai', 'vai', 'vai', 'e', 'ela', 'falou', 'que', 'vai', 'embora', 'carona', 'já', 'tá', 'lá', 'fora', 'junta', 'suas', 'coisas', 'se', 'segura', 'mas', 'não', 'chora', 'já', 'viu', 'que', 'tava', 'na', 'hora', 'ela', 'se', 'apressa', 'e', 'vai', 'percebeu', 'que', 'agora', 'é', 'ela', 'que', 'não', 'quer', 'mais', 'se', 'afasta', 'do', 'que', 'não', 'mais', 'te', 'faz', 'bem', 'ela', 'quer', 'paz', 'também', 'então', 'corre', 'atrás', 'e', 'tem', 'o', 'que', 'ninguém', 'mais', 'tem', 'como', 'sempre', 'nada', 'te', 'impede', 'e', 'ela', 'nem', 'fica', 'na', 'bad', 'atrás', 'de', 'um', 'sentimento', 'bom', 'que', 'não', 'se', 'mede', 'quantas', 'vezes', 'você', 'ligou', 'e', 'ele', 'não', 'te', 'atendeu', 'finalmente', 'você', 'se', 'tocou', 'que', 'ele', 'nunca', 'te', 'pertenceu', 'tá', 'solta', 'na', 'noite', 'convoca', 'suas', 'amigas', 'põe', 'sua', 'melhor', 'roupa', 'e', 'sai', 'vai', 'vai', 'quantas', 'vezes', 'você', 'ligou', 'e', 'ele', 'não', 'te', 'atendeu', 'finalmente', 'você', 'se', 'tocou', 'que', 'ele', 'nunca', 'te', 'pertenceu', 'tá', 'solta', 'na', 'noite', 'convoca', 'suas', 'amigas', 'põe', 'sua', 'melhor', 'roupa', 'e', 'sai', 'vai', 'vai', 'não', 'deu', 'moral', 'você', 'perdeu', 'ela', 'tá', 'mais', 'linda', 'e', 'o', 'problema', 'é', 'seu', 'cê', 'me', 'entendeu', 'ham', 'cê', 'que', 'sabe', 'agora', 'chora', 'bateu', 'saudade', 'tá', 'solta', 'na', 'noite', 'com', 'as', 'amiga', 'na', 'madruga', 'só', 'quer', 'ser', 'feliz', 'e', 'no', 'romance', 'ela', 'dá', 'fuga', 'tem', 'coisa', 'que', 'não', 'muda', 'solteira', 'é', 'bem', 'melhor', 'você', 'não', 'deu', 'valor', 'e', 'hoje', 'vive', 'na', 'pior', 'porque', 'vacilou', 'sem', 'caô', 'ela', 'só', 'quer', 'curtir', 'não', 'quer', 'um', 'novo', 'amor', 'vacilo', 'sem', 'caô', 'ela', 'só', 'quer', 'curtir', 'não', 'quer', 'um', 'novo', 'amor', 'quantas', 'vezes', 'você', 'ligou', 'e', 'ele', 'não', 'te', 'atendeu', 'finalmente', 'você', 'se', 'tocou', 'que', 'ele', 'nunca', 'te', 'pertenceu', 'tá', 'solta', 'na', 'noite', 'convoca', 'suas', 'amigas', 'põe', 'sua', 'melhor', 'roupa', 'e', 'sai', 'vai', 'vai', 'quantas', 'vezes', 'você', 'ligou', 'e', 'ele', 'não', 'te', 'atendeu', 'finalmente', 'você', 'se', 'tocou', 'que', 'ele', 'nunca', 'te', 'pertenceu', 'tá', 'solta', 'na', 'noite', 'convoca', 'suas', 'amigas', 'põe', 'sua', 'melhor', 'roupa', 'e', 'sai', 'vai', 'vai', 'sai', 'vai', 'vai', 'sai', 'vai', 'vai', 'sai', 'vai', 'vai', 'quantas', 'vezes', 'você', 'ligou', 'e', 'ele', 'não', 'te', 'atendeu', 'finalmente', 'você', 'se', 'tocou', 'que', 'ele', 'nunca', 'te', 'pertenceu', 'tá', 'solta', 'na', 'noite', 'convoca', 'suas', 'amigas', 'põe', 'sua', 'melhor', 'roupa', 'e', 'sai', 'vai', 'vai', 'quantas', 'vezes', 'você', 'ligou', 'e', 'ele', 'não', 'te', 'atendeu', 'finalmente', 'você', 'se', 'tocou', 'que', 'ele', 'nunca', 'te', 'pertenceu', 'tá', 'solta', 'na', 'noite', 'convoca', 'suas', 'amigas', 'põe', 'sua', 'melhor', 'roupa', 'e', 'sai', 'vai', 'vai']"
Pollo,"['Hip Hop', 'Rap', 'Romântico']",Sete Sete Sete,2014,Som Livre,"Namastê, Salamaleico","['oh', 'quem', 'voltou', 'o', 'mais', 'maloca', 'da', 'quebrada', 'é', 'que', 'meu', 'bonde', 'é', 'brabo', 'por', 'isso', 'as', 'minas', 'se', 'entrega', 'não', 'nega', 'quando', 'eu', 'chego', 'de', 'meca', 'e', 'cê', 'não', 'guenta', 'é', 'só', 'zika', 'do', 'baile', 'com', 'pegada', 'violenta', 'não', 'inventa', 'buxixo', 'que', 'meu', 'bonde', 'tá', 'formado', 'máquina', 'de', 'hit', 'deixa', 'os', 'cara', 'preocupado', 'novamente', 'só', 'linha', 'de', 'frente', 'liga', 'pras', 'amiga', 'quando', 'eu', 'chego', 'o', 'ambiente', 'fica', 'quente', 'namastê', 'salamaleico', 'elas', 'querem', 'os', 'que', 'vem', 'do', 'gueto', 'namastê', 'salamaleico', 'elas', 'querem', 'os', 'que', 'vem', 'do', 'gueto', 'ela', 'só', 'quer', 'maloqueiro', 'só', 'quer', 'vagabundo', 'tá', 'toda', 'perdida', 'então', 'se', 'joga', 'no', 'meu', 'mundo', 'só', 'quer', 'maloqueiro', 'só', 'quer', 'vagabundo', 'tá', 'toda', 'perdida', 'então', 'se', 'joga', 'no', 'meu', 'mundo', 'só', 'quer', 'maloqueiro', 'só', 'quer', 'vagabundo', 'tá', 'toda', 'perdida', 'então', 'se', 'joga', 'no', 'meu', 'mundo', 'só', 'quer', 'maloqueiro', 'só', 'quer', 'vagabundo', 'tá', 'toda', 'perdida', 'então', 'se', 'joga', 'no', 'meu', 'mundo', 'magrelo', 'chavão', 'sim', 'desde', 'dos', '12', 'sei', 'bem', 'de', 'onde', 'eu', 'vim', 'então', 'não', 'faço', 'pose', 'o', 'que', 'ela', 'viu', 'em', 'mim', 'hã', 'vê', 'se', 'entende', 'tem', 'coisa', 'que', 'não', 'compra', 'e', 'nem', 'vende', 'tem', 'que', 'saber', 'chegar', 'saber', 'quem', 'já', 'teve', 'lá', 'só', 'quem', 'ficou', 'sem', 'sabe', 'bem', 'o', 'que', 'valorizar', 'bem', 'vindo', 'ao', 'nosso', 'lar', 'que', 'não', 'tem', 'limite', 'aproveita', 'agora', 'é', 'seu', 'tudo', 'o', 'que', 'existe', 'namastê', 'salamaleico', 'elas', 'querem', 'os', 'que', 'vem', 'gueto', 'namastê', 'salamaleico', 'elas', 'querem', 'os', 'que', 'vem', 'gueto', 'ela', 'só', 'que', 'maloqueiro', 'só', 'quer', 'vagabundo', 'tá', 'toda', 'perdida', 'então', 'se', 'joga', 'no', 'meu', 'mundo', 'só', 'quer', 'maloqueiro', 'só', 'quer', 'vagabundo', 'tá', 'toda', 'perdida', 'então', 'se', 'joga', 'no', 'meu', 'mundo', 'só', 'quer', 'maloqueiro', 'só', 'quer', 'vagabundo', 'tá', 'toda', 'perdida', 'então', 'se', 'joga', 'no', 'meu', 'mundo', 'só', 'quer', 'maloqueiro', 'só', 'quer', 'vagabundo', 'tá', 'toda', 'perdida', 'então', 'se', 'joga', 'no', 'meu', 'mundo']"
Pollo,"['Hip Hop', 'Rap', 'Romântico']",Sete Sete Sete,2014,Som Livre,"Igual A Você, Não Tem (part. Lucas Dcan)",
Pollo,"['Hip Hop', 'Rap', 'Romântico']",Sete Sete Sete,2014,Som Livre,Fiesta Muy Loka,"['fui', 'numa', 'festa', 'muito', 'louca', 'com', 'as', 'minas', 'tirando', 'a', 'roupa', 'umas', 'com', 'as', 'outras', 'só', 'querendo', 'me', 'beijar', 'fui', 'lá', 'no', 'fundo', 'do', 'bailinho', 'e', 'trombei', 'o', 'danilinho', 'ele', 'logo', 'citou', 'se', 'eu', 'quero', 'chá', 'me', 'destaquei', 'de', 'canto', 'pouco', 'manco', 'trancos', 'e', 'barrancos', 'os', 'bicos', 'espanco', 'se', 'na', 'banca', 'tenta', 'me', 'tirar', 'tô', 'me', 'jogando', 'desse', 'bang', 'vou', 'colar', 'com', 'as', 'cara', 'sangue', 'que', 'hoje', 'reside', 'na', 'praia', 'do', 'guarujá', 'pego', 'umas', 'ondas', 'fumo', 'pontas', 'ninguém', 'paga', 'as', 'minhas', 'contas', 'então', 'então', 'então', 'então', 'não', 'venha', 'me', 'fala', 'fiesta', 'muy', 'loka', 'com', 'as', 'minas', 'doida', 'perdi', 'meu', 'drink', 'não', 'sei', 'onde', 'foi', 'parar', 'fiesta', 'muy', 'loka', 'com', 'as', 'minas', 'doida', 'perdi', 'meu', 'drink', 'não', 'sei', 'onde', 'foi', 'parar', 'ok', 'cheguei', 'meio', 'atrasado', 'vi', 'que', 'já', 'tava', 'moiado', 'que', 'só', 'tinhas', 'as', 'mina', 'estranhas', 'e', 'outras', 'com', 'o', 'namorado', 'eu', 'pensei', 'tá', 'explicado', 'por', 'que', 'os', 'cara', 'se', 'jogou', 'vou', 'dar', 'um', 'salve', 'nos', 'aliado', 'depois', 'vou', 'que', 'vou', 'ok', 'papo', 'vai', 'papo', 'vem', 'se', 'a', 'bebida', 'vem', 'nem', 'sei', 'só', 'lembro', 'que', 'quando', 'fui', 'ver', 'já', 'era', 'quase', '6', 'não', 'sei', 'vocês', 'mas', 'eu', 'tenho', 'que', 'ir', 'embora', 'já', 'passou', 'da', 'minha', 'hora', 'não', 'era', 'pra', 'eu', 'ficar', 'até', 'agora', 'fiesta', 'muy', 'loka', 'com', 'as', 'minas', 'doida', 'perdi', 'meu', 'drink', 'não', 'sei', 'onde', 'foi', 'parar', 'fiesta', 'muy', 'loka', 'com', 'as', 'minas', 'doida', 'perdi', 'meu', 'drink', 'não', 'sei', 'onde', 'foi', 'parar', 'os', 'cara', 'se', 'jogou', 'o', 'que', 'se', 'passa', 'festa', 'não', 'tinha', 'mais', 'ninguém', 'virou', 'fumaça', 'os', 'cara', 'se', 'jogou', 'o', 'que', 'se', 'passa', 'festa', 'não', 'tinha', 'mais', 'ninguém', 'virou', 'fumaça', 'fiesta', 'muy', 'loka', 'com', 'as', 'minas', 'doida', 'perdi', 'meu', 'drink', 'não', 'sei', 'onde', 'foi', 'parar', 'fiesta', 'muy', 'loka', 'com', 'as', 'minas', 'doida', 'perdi', 'meu', 'drink', 'não', 'sei', 'onde', 'foi', 'parar']"
Pollo,"['Hip Hop', 'Rap', 'Romântico']",Sete Sete Sete,2014,Som Livre,Registrei,"['pesadão', 'boladão', 'cheguei', 'os', 'bico', 'me', 'olhou', 'fei', 'quem', 'é', 'também', 'não', 'sei', 'aham', 'só', 'registrei', 'pesadão', 'boladão', 'cheguei', 'os', 'bico', 'me', 'olho', 'fei', 'quem', 'é', 'também', 'não', 'sei', 'aham', 'só', 'registrei', 'ainda', 'diz', 'que', 'minha', 'track', 'não', 'é', 'rap', 'claro', 'assim', 'nego', 'não', 'compete', 'se', 'mete', 'em', 'treta', 'de', 'internet', 'achando', 'que', 'é', 'cabra', 'da', 'peste', 'nunca', 'também', 'quero', 'um', 'cash', 'sim', 'nunca', 'foi', 'facim', 'pra', 'mim', 'mas', 'enfim', 'olha', 'donde', 'eu', 'vim', 'agora', 'olha', 'onde', 'é', 'que', 'eu', 'tô', 'então', 'respeita', 'quem', 'pôde', 'chega', 'onde', 'a', 'gente', 'chegou', 'se', 'ligou', 'jhow', 'pra', 'nóis', 'a', 'meta', 'vai', 'muito', 'mais', 'além', 'a', 'força', 'do', 'pensamento', 'mantém', 'nossa', 'realidade', 'zen', 'por', 'isso', 'cheguei', 'já', 'vim', 'revolucionando', 'pra', 'quem', 'duvidava', 'viu', 'que', 'o', 'bang', 'tá', 'funcionando', 'então', 'vai', 'me', 'diz', 'aonde', 'que', 'eu', 'errei', 'ei', 'me', 'diz', 'aonde', 'que', 'eu', 'errei', 'que', 'eu', 'não', 'sei', 'mas', 'eu', 'só', 'sei', 'que', 'pesadão', 'boladão', 'cheguei', 'os', 'bico', 'me', 'olhou', 'fei', 'quem', 'é', 'também', 'não', 'sei', 'aham', 'só', 'registrei', 'pesadão', 'boladão', 'cheguei', 'os', 'bico', 'me', 'olhou', 'fei', 'quem', 'é', 'também', 'não', 'sei', 'aham', 'só', 'registrei', 'os', 'loki', 'fica', 'em', 'choque', 'com', 'minha', 'banca', 'eu', 'passo', 'a', 'visão', 'tomim', 'no', 'comando', 'eu', 'tô', 'armado', 'no', 'flow', 'tô', 'monstrão', 'sim', 'maloqueiro', 'eu', 'vim', 'a', 'culpa', 'não', 'é', 'minha', 'se', 'ela', 'tá', 'afim', 'raiva', 'de', 'mim', 'é', 'mato', 'mãos', 'ao', 'alto', 'roubei', 'a', 'cena', 'inteira', 'porra', 'é', 'um', 'assalto', 'bang', 'bang', 'não', 'sei', 'quem', 'é', 'quem', 'meu', 'time', 'é', 'dois', 'moleque', 'não', 'tem', 'pra', 'ninguém', 'a', 'mais', 'de', '100', 'pique', 'ducati', 'falam', 'de', 'mim', 'tim', 'tim', 'xeque', 'mate', 'pesadão', 'boladão', 'cheguei', 'os', 'bico', 'me', 'olhou', 'fei', 'quem', 'é', 'também', 'não', 'sei', 'aham', 'só', 'registrei', 'pesadão', 'boladão', 'cheguei', 'os', 'bico', 'me', 'olhou', 'fei', 'quem', 'é', 'também', 'não', 'sei', 'aham', 'só', 'registrei', 'cheguei', 'me', 'olhou', 'fei', 'não', 'sei', 'só', 'registrei', 'pesadão', 'boladão', 'cheguei', 'os', 'bico', 'me', 'olhou', 'fei', 'quem', 'é', 'também', 'não', 'sei', 'aham', 'só', 'registrei', 'pesadão', 'boladão', 'cheguei', 'os', 'bico', 'me', 'olhou', 'fei', 'quem', 'é', 'também', 'não', 'sei', 'aham', 'só', 'registrei']"
Pollo,"['Hip Hop', 'Rap', 'Romântico']",Sete Sete Sete,2014,Som Livre,Gênio da Lâmpada (part. Levi Lima),
Pollo,"['Hip Hop', 'Rap', 'Romântico']",Sete Sete Sete,2014,Som Livre,Presença,
Pollo,"['Hip Hop', 'Rap', 'Romântico']",Sete Sete Sete,2014,Som Livre,Tudo Bem (Part. Bella),
Pollo,"['Hip Hop', 'Rap', 'Romântico']",Sete Sete Sete,2014,Som Livre,Ops. (Part. Mr Catra),
